run_id,policy,budget_fraction,contact_cost_assumption,value_per_conversion_assumption,target_fraction,gross_incremental_conversions_per_customer_ipw,gross_incremental_conversions_per_customer_dr,net_scenario_value_per_customer_ipw,net_scenario_value_per_customer_dr,is_monetary_observation,interpretation
sprint2-local-exact-calibration-v1,T-LocalExact top-k,0.1,0.0005,1.0,0.09999935620429498,0.0008718578491970524,0.0007206676788665464,0.0008218581710949049,0.000670668000764399,False,conversion-equivalent assumption scenario
sprint2-local-exact-calibration-v1,X-Calibrated cost-aware,0.1,0.0005,1.0,0.09999935620429498,0.0010637339559531427,0.0008761467989324815,0.0010137342778509951,0.0008261471208303341,False,conversion-equivalent assumption scenario
sprint2-local-exact-calibration-v1,Treat none,0.1,0.001,1.0,0.0,0.0,0.0,0.0,0.0,False,conversion-equivalent assumption scenario
sprint2-local-exact-calibration-v1,Random top-k,0.1,0.001,1.0,0.09999935620429498,0.00011136664367370771,9.044925258960417e-05,1.1367287469412723e-05,-9.550103614690817e-06,False,conversion-equivalent assumption scenario
sprint2-local-exact-calibration-v1,Response top-k,0.1,0.001,1.0,0.09999935620429498,0.0010314739779142392,0.0008488799605969188,0.0009314746217099442,0.0007488806043926238,False,conversion-equivalent assumption scenario
sprint2-local-exact-calibration-v1,X-Renormalized top-k,0.1,0.001,1.0,0.09999935620429498,0.0010603677044106524,0.0008745282477263288,0.0009603683482063575,0.0007745288915220337,False,conversion-equivalent assumption scenario
sprint2-local-exact-calibration-v1,X-Calibrated top-k,0.1,0.001,1.0,0.09999935620429498,0.0010637339559531427,0.0008761467989324815,0.0009637345997488478,0.0007761474427281866,False,conversion-equivalent assumption scenario
sprint2-local-exact-calibration-v1,T-LocalExact top-k,0.1,0.001,1.0,0.09999935620429498,0.0008718578491970524,0.0007206676788665464,0.0007718584929927573,0.0006206683226622515,False,conversion-equivalent assumption scenario
sprint2-local-exact-calibration-v1,X-Calibrated cost-aware,0.1,0.001,1.0,0.09999935620429498,0.0010637339559531427,0.0008761467989324815,0.0009637345997488478,0.0007761474427281866,False,conversion-equivalent assumption scenario
sprint2-local-exact-calibration-v1,Treat none,0.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,False,conversion-equivalent assumption scenario
sprint2-local-exact-calibration-v1,Random top-k,0.2,0.0,1.0,0.1999994277371511,0.00024265025156070623,0.00020903357619716376,0.00024265025156070623,0.00020903357619716376,False,conversion-equivalent assumption scenario
sprint2-local-exact-calibration-v1,Response top-k,0.2,0.0,1.0,0.1999994277371511,0.0010878585612201595,0.0009082902000011395,0.0010878585612201595,0.0009082902000011395,False,conversion-equivalent assumption scenario
sprint2-local-exact-calibration-v1,X-Renormalized top-k,0.2,0.0,1.0,0.1999994277371511,0.0011394744856283814,0.0009484394825116762,0.0011394744856283814,0.0009484394825116762,False,conversion-equivalent assumption scenario
sprint2-local-exact-calibration-v1,X-Calibrated top-k,0.2,0.0,1.0,0.1999994277371511,0.001143682300056494,0.0009546470768740445,0.001143682300056494,0.0009546470768740445,False,conversion-equivalent assumption scenario
sprint2-local-exact-calibration-v1,T-LocalExact top-k,0.2,0.0,1.0,0.1999994277371511,0.0009119722215302252,0.0007565953137943632,0.0009119722215302252,0.0007565953137943632,False,conversion-equivalent assumption scenario
sprint2-local-exact-calibration-v1,X-Calibrated cost-aware,0.2,0.0,1.0,0.1999994277371511,0.001143682300056494,0.0009546470768740445,0.001143682300056494,0.0009546470768740445,False,conversion-equivalent assumption scenario
sprint2-local-exact-calibration-v1,Treat none,0.2,0.00025,1.0,0.0,0.0,0.0,0.0,0.0,False,conversion-equivalent assumption scenario
sprint2-local-exact-calibration-v1,Random top-k,0.2,0.00025,1.0,0.1999994277371511,0.00024265025156070623,0.00020903357619716376,0.00019265039462641845,0.00015903371926287598,False,conversion-equivalent assumption scenario
sprint2-local-exact-calibration-v1,Response top-k,0.2,0.00025,1.0,0.1999994277371511,0.0010878585612201595,0.0009082902000011395,0.0010378587042858716,0.0008582903430668518,False,conversion-equivalent assumption scenario
sprint2-local-exact-calibration-v1,X-Renormalized top-k,0.2,0.00025,1.0,0.1999994277371511,0.0011394744856283814,0.0009484394825116762,0.0010894746286940935,0.0008984396255773884,False,conversion-equivalent assumption scenario
sprint2-local-exact-calibration-v1,X-Calibrated top-k,0.2,0.00025,1.0,0.1999994277371511,0.001143682300056494,0.0009546470768740445,0.0010936824431222061,0.0009046472199397568,False,conversion-equivalent assumption scenario
sprint2-local-exact-calibration-v1,T-LocalExact top-k,0.2,0.00025,1.0,0.1999994277371511,0.0009119722215302252,0.0007565953137943632,0.0008619723645959374,0.0007065954568600755,False,conversion-equivalent assumption scenario
sprint2-local-exact-calibration-v1,X-Calibrated cost-aware,0.2,0.00025,1.0,0.1999994277371511,0.001143682300056494,0.0009546470768740445,0.0010936824431222061,0.0009046472199397568,False,conversion-equivalent assumption scenario
sprint2-local-exact-calibration-v1,Treat none,0.2,0.0005,1.0,0.0,0.0,0.0,0.0,0.0,False,conversion-equivalent assumption scenario
sprint2-local-exact-calibration-v1,Random top-k,0.2,0.0005,1.0,0.1999994277371511,0.00024265025156070623,0.00020903357619716376,0.00014265053769213067,0.0001090338623285882,False,conversion-equivalent assumption scenario
sprint2-local-exact-calibration-v1,Response top-k,0.2,0.0005,1.0,0.1999994277371511,0.0010878585612201595,0.0009082902000011395,0.000987858847351584,0.000808290486132564,False,conversion-equivalent assumption scenario
sprint2-local-exact-calibration-v1,X-Renormalized top-k,0.2,0.0005,1.0,0.1999994277371511,0.0011394744856283814,0.0009484394825116762,0.0010394747717598059,0.0008484397686431007,False,conversion-equivalent assumption scenario
sprint2-local-exact-calibration-v1,X-Calibrated top-k,0.2,0.0005,1.0,0.1999994277371511,0.001143682300056494,0.0009546470768740445,0.0010436825861879185,0.000854647363005469,False,conversion-equivalent assumption scenario
sprint2-local-exact-calibration-v1,T-LocalExact top-k,0.2,0.0005,1.0,0.1999994277371511,0.0009119722215302252,0.0007565953137943632,0.0008119725076616497,0.0006565955999257877,False,conversion-equivalent assumption scenario
sprint2-local-exact-calibration-v1,X-Calibrated cost-aware,0.2,0.0005,1.0,0.19363801084295032,0.0011335835454290236,0.000944332208652564,0.0010367645400075486,0.0008475132032310888,False,conversion-equivalent assumption scenario
sprint2-local-exact-calibration-v1,Treat none,0.2,0.001,1.0,0.0,0.0,0.0,0.0,0.0,False,conversion-equivalent assumption scenario
sprint2-local-exact-calibration-v1,Random top-k,0.2,0.001,1.0,0.1999994277371511,0.00024265025156070623,0.00020903357619716376,4.2650823823555116e-05,9.034148460012643e-06,False,conversion-equivalent assumption scenario
sprint2-local-exact-calibration-v1,Response top-k,0.2,0.001,1.0,0.1999994277371511,0.0010878585612201595,0.0009082902000011395,0.0008878591334830083,0.0007082907722639884,False,conversion-equivalent assumption scenario
sprint2-local-exact-calibration-v1,X-Renormalized top-k,0.2,0.001,1.0,0.1999994277371511,0.0011394744856283814,0.0009484394825116762,0.0009394750578912303,0.000748440054774525,False,conversion-equivalent assumption scenario
sprint2-local-exact-calibration-v1,X-Calibrated top-k,0.2,0.001,1.0,0.1999994277371511,0.001143682300056494,0.0009546470768740445,0.0009436828723193429,0.0007546476491368934,False,conversion-equivalent assumption scenario
sprint2-local-exact-calibration-v1,T-LocalExact top-k,0.2,0.001,1.0,0.1999994277371511,0.0009119722215302252,0.0007565953137943632,0.0007119727937930741,0.0005565958860572121,False,conversion-equivalent assumption scenario
sprint2-local-exact-calibration-v1,X-Calibrated cost-aware,0.2,0.001,1.0,0.19363658018582805,0.0011335835454290236,0.0009443324506704115,0.0009399469652431956,0.0007506958704845834,False,conversion-equivalent assumption scenario
sprint2-local-exact-calibration-v1,Treat none,0.3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,False,conversion-equivalent assumption scenario
sprint2-local-exact-calibration-v1,Random top-k,0.3,0.0,1.0,0.2999994992700072,0.00034980905191057016,0.00030364304060067867,0.00034980905191057016,0.00030364304060067867,False,conversion-equivalent assumption scenario
sprint2-local-exact-calibration-v1,Response top-k,0.3,0.0,1.0,0.2999994992700072,0.001120679470415842,0.0009425493779013664,0.001120679470415842,0.0009425493779013664,False,conversion-equivalent assumption scenario
sprint2-local-exact-calibration-v1,X-Renormalized top-k,0.3,0.0,1.0,0.2999994992700072,0.0011456458841821958,0.0009574665129842925,0.0011456458841821958,0.0009574665129842925,False,conversion-equivalent assumption scenario
sprint2-local-exact-calibration-v1,X-Calibrated top-k,0.3,0.0,1.0,0.2999994992700072,0.0011456458841821958,0.0009577014259751298,0.0011456458841821958,0.0009577014259751298,False,conversion-equivalent assumption scenario
