model,budget_fraction,gross_value_per_customer,ci_low,ci_high,reference_value,policy_value_delta_vs_response,fold_seed,stage
Anchored-Pattern-R,0.25,0.0009216718852921,0.0006774413980255,0.0011416358572866,0.000955662821259,-3.399093596689992e-05,101,screen
Anchored-Pattern-R,0.3,0.0009506207180392,0.0007179957480421,0.0011847646099029,0.000966518305829,-1.5897587789799974e-05,101,screen
DINA-CATE-Sentinel,0.01,0.0004130459089328,0.0002484840585345,0.0005800311434075,0.0003797483240618,3.329758487100005e-05,101,screen
DINA-CATE-Sentinel,0.02,0.000569651294026,0.0003988437658568,0.0007499153190165,0.0005294724107763,4.017888324969992e-05,101,screen
DINA-CATE-Sentinel,0.05,0.0008053493175978,0.0006261230798005,0.0010085379970478,0.000714441006058,9.090831153979993e-05,101,screen
DINA-CATE-Sentinel,0.1,0.0008610304372351,0.0006666175369226,0.0010725857572685,0.0008474436787712,1.3586758463899977e-05,101,screen
DINA-CATE-Sentinel,0.15,0.000913845988565,0.0007209477524455,0.0011231994062042,0.0009107519183928,3.0940701722000086e-06,101,screen
DINA-CATE-Sentinel,0.2,0.0009362894442544,0.0007325545906609,0.001137043676368,0.0009508865310667,-1.4597086812300061e-05,101,screen
DINA-CATE-Sentinel,0.25,0.0009389942595368,0.0007306544214606,0.0011519608190498,0.000955662821259,-1.666856172219996e-05,101,screen
DINA-CATE-Sentinel,0.3,0.0009366948277433,0.0007275418196116,0.0011590515996038,0.000966518305829,-2.9823478085700046e-05,101,screen
Response,0.01,0.0003718710522526,0.0002097256252771,0.0005708989938632,0.0003718710522526,0.0,202,screen
Response,0.02,0.000541527251967,0.0003308521262692,0.0007440615244205,0.000541527251967,0.0,202,screen
Response,0.05,0.0007441625488533,0.0005380373917852,0.0009409230582799,0.0007441625488533,0.0,202,screen
Response,0.1,0.0008399912269922,0.0006259851364248,0.0010774031294896,0.0008399912269922,0.0,202,screen
Response,0.15,0.0008925350608858,0.0006630560161344,0.0011314472196547,0.0008925350608858,0.0,202,screen
Response,0.2,0.0009184905134323,0.0006776883687942,0.0011420905139652,0.0009184905134323,0.0,202,screen
Response,0.25,0.0009625755286261,0.0007185735750617,0.0011845187208353,0.0009625755286261,0.0,202,screen
Response,0.3,0.0009596851438702,0.0007216486174127,0.0011872913811812,0.0009596851438702,0.0,202,screen
Response-Sentinel,0.01,0.0003432711056895,0.0001925239795725,0.0005326498587014,0.0003718710522526,-2.8599946563100012e-05,202,screen
Response-Sentinel,0.02,0.0005627439222415,0.0003767993745055,0.0007726766472406,0.000541527251967,2.1216670274499974e-05,202,screen
Response-Sentinel,0.05,0.0007278952832383,0.0005075786232462,0.0009293089116552,0.0007441625488533,-1.6267265614999978e-05,202,screen
Response-Sentinel,0.1,0.0008563527485982,0.0006327562239588,0.0010934077412742,0.0008399912269922,1.636152160600004e-05,202,screen
Response-Sentinel,0.15,0.0008876691078202,0.00066615795525,0.0011171606892371,0.0008925350608858,-4.865953065599912e-06,202,screen
Response-Sentinel,0.2,0.0009258741767004,0.0006920051485433,0.0011530845304034,0.0009184905134323,7.383663268099969e-06,202,screen
Response-Sentinel,0.25,0.0009628528986296,0.000723095628577,0.0011866240460451,0.0009625755286261,2.773700034999771e-07,202,screen
Response-Sentinel,0.3,0.0009713505557122,0.0007263057790139,0.0011895216888901,0.0009596851438702,1.166541184200007e-05,202,screen
Anchored-R25,0.01,0.0003738353740103,0.0002200450249025,0.0005838566546638,0.0003718710522526,1.964321757699989e-06,202,screen
Anchored-R25,0.02,0.0005776902698715,0.0003867279754877,0.000779357853739,0.000541527251967,3.616301790450001e-05,202,screen
Anchored-R25,0.05,0.0006996888806056,0.0004580731440607,0.0009104691276448,0.0007441625488533,-4.4473668247699966e-05,202,screen
Anchored-R25,0.1,0.0008603130442046,0.0006254275117587,0.0010698736910492,0.0008399912269922,2.0321817212399975e-05,202,screen
Anchored-R25,0.15,0.0009106145324322,0.0006922546230456,0.0011479932465389,0.0008925350608858,1.8079471546400072e-05,202,screen
Anchored-R25,0.2,0.0009086551432857,0.0006799306450437,0.0011535295208942,0.0009184905134323,-9.835370146600033e-06,202,screen
Anchored-R25,0.25,0.0009222111469896,0.0007025282196904,0.0011604355447627,0.0009625755286261,-4.036438163650005e-05,202,screen
Anchored-R25,0.3,0.0009311397890589,0.0006997877914115,0.0011644251663413,0.0009596851438702,-2.854535481129996e-05,202,screen
Anchored-R25-Sentinel,0.01,0.0003956172978343,0.0002455417860921,0.0006044015438062,0.0003718710522526,2.3746245581699995e-05,202,screen
Anchored-R25-Sentinel,0.02,0.0006231846424406,0.0004430805390055,0.0008209788138453,0.000541527251967,8.165739047360002e-05,202,screen
