model,decile,target_fraction,n_decile,mean_score_decile,decile_n_treatment,decile_n_control,decile_conversion_treatment,decile_conversion_control,decile_observed_uplift_rate,decile_uplift_ci_low,decile_uplift_ci_high,n_targeted_cumulative,mean_score_cumulative,cumulative_n_treatment,cumulative_n_control,cumulative_conversion_treatment,cumulative_conversion_control,cumulative_observed_uplift_rate,cumulative_uplift_ci_low,cumulative_uplift_ci_high,estimated_incremental_conversions_cumulative,incremental_conversions_ci_low,incremental_conversions_ci_high,share_of_full_incremental_estimate
T-Learner,1,0.1,209694,0.011034841356819104,181151,28543,0.022506086082881134,0.015310233682514102,0.007195852400367032,0.005616108411744768,0.008775596388989296,209694,0.011034841356819104,181151,28543,0.022506086082881134,0.015310233682514102,0.007195852400367032,0.005616108411744768,0.008775596388989296,1508.9270732425643,1177.6642372924075,1840.1899091927214,0.625550973300039
T-Learner,2,0.2,209694,0.0005634635695445563,178558,31136,0.0013497014975526159,0.0006102261048304214,0.0007394753927221945,0.00041660760578817195,0.0010623431796562169,419388,0.005799152463181829,359709,59679,0.01200414779724722,0.007640878701050621,0.004363269096196599,0.003579205642414204,0.005147332549978993,1829.902699715699,1501.0758959608083,2158.72950347059,0.7586167914607435
T-Learner,3,0.3,209694,0.00021718140264085696,177489,32205,0.000693000693000693,0.0005899705014749262,0.00010303019152576676,-0.00018907016948796073,0.00039513055253949424,629082,0.003938495443001505,537198,91884,0.008266970465266065,0.005169561621174525,0.003097408844091541,0.0025742951148134442,0.0036205225733696375,1948.5241504587948,1619.4427194170712,2277.6055815005184,0.807793299247265
T-Learner,4,0.4,209694,7.143824899506887e-05,177741,31953,0.0004838500964887111,0.00021907176164992332,0.0002647783348387878,7.298391484410186e-05,0.00045657275483347375,838776,0.0029717311444998964,714939,123837,0.006332008744802004,0.0038922131511583778,0.0024397955936436263,0.002047264648680162,0.0028323265386070904,2046.4419888540262,1717.1964529613517,2375.687524746701,0.8483867780162196
T-Learner,5,0.5,209694,9.053974854788487e-06,177710,31984,0.00018569579652242418,9.379689844922461e-05,9.189889807319957e-05,-3.170684366114207e-05,0.0002155046398075412,1048470,0.0023791957105708745,892649,155821,0.005108390868079167,0.0031125458057643064,0.0019958450623148603,0.0016822054895418899,0.002309484635087831,2092.5836724852616,1763.7419896199854,2421.425355350538,0.8675155852442558
T-Learner,6,0.6,209694,-7.721564218342018e-06,177904,31790,8.993614533681087e-05,6.291286568103177e-05,2.70232796557791e-05,-7.067001496179814e-05,0.00012471657427335633,1258164,0.001981376164772672,1070553,187611,0.0042744263945829865,0.0025957966217332673,0.0016786297728497192,0.0014173109546588064,0.001939948591040632,2111.991549527694,1783.2096199573425,2440.7734790980458,0.875561445504084
T-Learner,7,0.7,209694,-2.298046451742508e-05,177784,31910,0.00015186968456104037,0.00015669069257286117,-4.821008011820794e-06,-0.00015362273851186466,0.00014398072248822307,1467858,0.0016950395034455155,1248337,219521,0.0036873055913587438,0.002241243434568902,0.0014460621567898417,0.0012214757490810373,0.001670648564498646,2122.6139053412235,1792.9529500945932,2452.2748605878537,0.8799651208941831
T-Learner,8,0.8,209694,-2.5893511177559897e-05,177840,31854,5.623031938821413e-05,0.0,5.623031938821413e-05,2.137938623529511e-05,9.108125254113315e-05,1677552,0.001479922876617631,1426177,251375,0.0032345213812871756,0.0019572352063649927,0.001277286174922183,0.001080977635078694,0.001473594714765672,2142.713977313058,1813.3961936815333,2472.0317609445824,0.8882979421473416
T-Learner,9,0.9,209694,-2.5893511177559897e-05,178184,31510,3.928523324204193e-05,0.0,3.928523324204193e-05,1.0182896845351048e-05,6.838756963873282e-05,1887246,0.0013126099446403871,1604361,282885,0.0028796511508320135,0.0017392226523145447,0.0011404284985174688,0.0009659203572678777,0.00131493663976706,2152.269122113099,1822.9293305723731,2481.608913653825,0.8922591873497647
T-Learner,10,1.0,209694,-0.001874353808300003,178038,31656,0.004982082476774621,0.0037275713924690423,0.0012545110843055788,0.0005077604658206574,0.0020012617027905,2096940,0.0009939135693463482,1782399,314541,0.0030896561319884042,0.0019393338229356427,0.0011503223090527615,0.0009763154533005904,0.0013243291648049327,2412.156862745098,2047.27492664414,2777.0387988460557,1.0
X-Learner,1,0.1,209694,0.00554053086590141,181185,28509,0.026508816955045946,0.0187660037181241,0.007742813236921844,0.006002574645388561,0.009483051828455128,209694,0.00554053086590141,181185,28509,0.026508816955045946,0.0187660037181241,0.007742813236921844,0.006002574645388561,0.009483051828455128,1623.6214789030892,1258.703887690109,1988.5390701160698,0.673099458820172
X-Learner,2,0.2,209694,0.0007202615437484954,178546,31148,0.001523416934571483,0.0009952484910748683,0.0005281684434966147,0.0001340193394733948,0.0009223175475198347,419388,0.0031303962048249523,359731,59657,0.014107763856881948,0.009487570611998591,0.0046201932448833565,0.003752042146981424,0.005488344342785289,1937.653604585141,1573.5614519382455,2301.745757232037,0.8032867325137555
X-Learner,3,0.3,209694,0.00023396752277084852,177773,31921,0.0005006384546584689,0.00034460073305974125,0.0001560377215987277,-7.258988172854707e-05,0.00038466532492600246,629082,0.002164919977473585,537504,91578,0.009607370363755433,0.006300639891677041,0.003306730472078392,0.002731712984668924,0.00388174795948786,2080.204618836019,1718.471467821496,2441.937769850542,0.8623836413643065
X-Learner,4,0.4,209694,0.00012481381263200247,177682,32012,0.0001969811235803289,0.00012495314257153568,7.202798100879322e-05,-6.672052749711474e-05,0.00021077648951470118,838776,0.0016548934362631891,715186,123590,0.0072694376008478915,0.004701027591229064,0.0025684100096188276,0.002139223806033725,0.00299759621320393,2154.3206742280418,1794.3295871297437,2514.31176132634,0.8931096926160798
X-Learner,5,0.5,209694,7.985795714012923e-05,178046,31648,0.0001516462037900318,0.0,0.0001516462037900318,9.44492631006965e-05,0.0002088431444793671,1048470,0.0013398863404385773,893232,155238,0.00585066365737009,0.0037426403329081795,0.00210802332446191,0.0017655530025706863,0.002450493646353134,2210.199214998579,1851.1293566052875,2569.2690733918703,0.9162750769381202
