Response,S-Learner,T-Learner,X-Learner,DR-Learner
0.19630897974704192,0.1653493463155849,0.13509991714466127,0.1555834315228713,0.15610249867204387
0.18722769215150714,0.17284138359307877,0.16773021619448308,0.1577068917471581,0.17247559148077077
0.195819854274511,0.1866338801586874,0.1508866687439228,0.1726070060826008,0.17809784394810374
0.1884059426997109,0.17952131489767778,0.11727898504025186,0.17396917124694064,0.14372760901541043
0.15690168398339646,0.14762544656168292,0.11966820393273701,0.14331716335187336,0.14437559561618135
0.1793220401695663,0.1451216465812991,0.12325264960768399,0.13163071817936217,0.1560393365224926
0.22381559296647635,0.2108879803886872,0.17685413520325258,0.19587061255898588,0.18061953031300057
0.1784166908828835,0.18101793322665366,0.16461457734364074,0.18131490715817533,0.1785640104834118
0.20826925856824402,0.20181441352406246,0.14615864289505695,0.18774297963091127,0.15523770471912235
0.18222475656638829,0.1813991736564602,0.1463415679543586,0.16892621653034687,0.17281787086007713
0.17195398092099862,0.14837143958724064,0.1397081381168071,0.14073924899289414,0.13432729402349916
0.2095667126782593,0.22686475595185307,0.2017028524333827,0.21383987523281006,0.18289748816619544
0.16394225007152627,0.16197767257317386,0.12317524103129339,0.14747718528567447,0.1587993857529838
0.1972886389456505,0.17370275994627732,0.1307510693141077,0.16782469900743577,0.15646353740683
0.1760114217014447,0.1672290592408834,0.12378646885260493,0.14838773614637152,0.1304131104268236
0.18207262859088452,0.16684906876454714,0.13419916051286676,0.16272145741890814,0.12717637929812536
0.16931359963052817,0.170147233063425,0.13857925499613266,0.1529593741431565,0.14661254863126913
0.19032469495879015,0.17118303149574038,0.14342301552266196,0.17083521280306696,0.1768698538246967
0.17599103135803357,0.16214482215931444,0.12679075245107171,0.14887325432524437,0.13576578166357714
0.18866903747704533,0.2003414979871345,0.13974868285301317,0.1911974942397954,0.18091014712399048
0.19928609900713046,0.19262343122627693,0.13691443684943105,0.18549092743947965,0.15823043316408575
0.1899278402482513,0.18167413144556127,0.14301349618192,0.15960306605953786,0.15765746044318546
0.1947464784203372,0.16959537661577345,0.12069597388061,0.1523502961420535,0.14143291379197856
0.20780400091618703,0.21659446923047748,0.15191821405784173,0.1913864645008083,0.15507961506918105
0.19571472985731014,0.18717154333835054,0.1518204629592002,0.17375968987347565,0.18307309813006
0.2039513296557409,0.19033350500959376,0.13621980926076724,0.18302578029436925,0.16995055710870538
0.16418558423932786,0.15960534298405,0.10901373705535716,0.15600609958654052,0.13905004462449966
0.21516728603842852,0.191232331000783,0.17065391575435368,0.18830347066435651,0.17166336945143482
0.20813029024135238,0.17603355431542952,0.139443863219738,0.1711970986667285,0.14556091583604075
0.1928722429552274,0.15076124341713673,0.1463990526182401,0.13687422478888928,0.13771919500270757
0.1782638704977697,0.1667059277874745,0.13573167466939895,0.14891678838689082,0.1286103669072953
0.1959708420324097,0.18656849022379177,0.14996745890452154,0.175391047454005,0.1765532453671946
0.2039818306151794,0.16785773005712082,0.13264958160294502,0.17069399212990924,0.14930589691332768
0.19094801239512496,0.20249790716431224,0.1635107256701598,0.20112415757193197,0.17031055074588108
0.20079626767555797,0.19180441053564384,0.1667782888329228,0.18911775943545378,0.18460286491881187
0.20740912085207613,0.20624114346686806,0.15884956694277777,0.19774780921155868,0.1650426417269186
0.18900736337696664,0.1724153947921461,0.13671928041758513,0.16906074365741544,0.15683949775412315
0.1765325325694665,0.15911182645823674,0.1130397438630891,0.13975437150975437,0.16271477872514403
0.21281436911537202,0.20532088246673047,0.14268148248545012,0.20655296280819893,0.1488484109372359
0.18839321141235862,0.17458055129338848,0.12369424235315375,0.16168452583636028,0.15570573210029787
0.17279303470834617,0.16971936441267002,0.14587825212311392,0.16002002630945208,0.14290327337720068
0.18883207414122177,0.16764789815077186,0.12044902814294706,0.15009453799083744,0.15576112093699482
0.1887441104789216,0.1570605504182785,0.13721954832192124,0.1471289055935823,0.14912569259704772
0.1952566669436998,0.18812899410836703,0.13398783734534273,0.18044159213376582,0.15980445079013034
0.1713195151396198,0.18772852213979532,0.14130308975387723,0.1759462443842145,0.14753437787108029
0.16740356256641667,0.14553185267767885,0.13462137887665973,0.13164341732651968,0.1279082911390654
0.16233846000311672,0.17228854983985825,0.14187457538631607,0.1584130127956815,0.15405791873248695
0.18453449121965154,0.19033288212036012,0.1496712757820888,0.17969589040936335,0.17218377731863527
0.18586457445901727,0.18541811536319536,0.13584564447517333,0.17564214431802405,0.13751395824326262
0.22161524034538746,0.2192174386459279,0.16791583129782714,0.21905530502699652,0.17524589892672662
0.18713889312823512,0.16474750672746827,0.14207075035896147,0.15912715100716515,0.14849987977770415
0.16923826909320402,0.15747935269141103,0.1240623865735975,0.15445458260981199,0.11638547661637288
