model,budget_fraction,gross_value_per_customer,ci_low,ci_high
Rank-K1,0.2,0.0007355617762341508,-0.00014250550563591036,0.0016729585673073255
Rank-K1,0.25,0.0007797453884568578,-0.00023878140589591324,0.0017385182980485987
Rank-K1,0.3,0.0007298494688350827,-0.0002293480357029227,0.0017034403910998687
Rank-K05,0.01,0.00026388933809978006,2.9838469270360453e-05,0.0006566106424614508
Rank-K05,0.02,0.0003957748226759219,-9.266095753097187e-07,0.0007958987264812566
Rank-K05,0.05,0.0004988990835164126,6.11841402124839e-05,0.0012336523020085065
Rank-K05,0.1,0.0010470384573274855,0.0003643426280049449,0.0018811768905414288
Rank-K05,0.15,0.0010278419077682519,0.00014159114054814993,0.0018013431869804354
Rank-K05,0.2,0.0008132504445312582,-4.430849464713538e-05,0.0017342827799104923
Rank-K05,0.25,0.0008425267063323047,-3.194652700920865e-05,0.0017606125841974005
Rank-K05,0.3,0.0007523046042458251,-0.00022995197656234975,0.001748606808125351
Rank-K2,0.01,0.00011072453765931024,-0.0002489724153337703,0.000531710454951294
Rank-K2,0.02,0.000579995656609324,0.0001287050055320169,0.0010642382096349497
Rank-K2,0.05,0.0006116568390130513,-2.323760173401186e-05,0.0012293970130889114
Rank-K2,0.1,0.00075026539134086,-0.00018134152003845074,0.0014937160796446903
Rank-K2,0.15,0.0007697845148429403,-7.930963513953575e-06,0.001618203127884267
Rank-K2,0.2,0.0008650214081406441,4.004102151378013e-05,0.0016863261772053272
Rank-K2,0.25,0.0007796087667542304,-0.00012560851233188106,0.0017306703013581764
Rank-K2,0.3,0.0008931051825788295,5.398518959358826e-05,0.0018199990302255028
Expected random (stochastic policy),0.01,9.559684034872457e-06,,
Expected random (stochastic policy),0.02,1.9119368069744914e-05,,
Expected random (stochastic policy),0.05,4.779842017436229e-05,,
Expected random (stochastic policy),0.1,9.559684034872458e-05,,
Expected random (stochastic policy),0.15,0.00014339526052308685,,
Expected random (stochastic policy),0.2,0.00019119368069744916,,
Expected random (stochastic policy),0.25,0.00023899210087181144,,
Expected random (stochastic policy),0.3,0.0002867905210461737,,
