model,budget_fraction,gross_value_per_customer,ci_low,ci_high
DR-Binary,0.05,0.00046710540445900665,0.00030091135528542636,0.0006044464031080024
DR-Binary,0.1,0.0005114008772741779,0.00034458919022435517,0.0006714998020883734
DR-Binary,0.15,0.0005679936775054001,0.00039807490276364124,0.0007232784925180708
DR-Binary,0.2,0.0006147510893827615,0.0004332391197635997,0.0007798380730212868
DR-Binary,0.25,0.0006407535758133765,0.0004562187209199838,0.0007984588259202577
DR-Binary,0.3,0.0006469251505016617,0.00045793567684064335,0.0008104082568743301
DR-Binary-MC2,0.01,0.00029405899056863925,0.00015341884420011249,0.0003996137713362154
DR-Binary-MC2,0.02,0.0003696188207612778,0.00023385140123178768,0.0004889387768513782
DR-Binary-MC2,0.05,0.0004976463785173954,0.0003417669322532422,0.0006209438353284372
DR-Binary-MC2,0.1,0.00051427629205824,0.0003345342967520234,0.0006524978481890559
DR-Binary-MC2,0.15,0.0005893660478681038,0.0004111025980562077,0.0007386379162974159
DR-Binary-MC2,0.2,0.0006352484735050758,0.00044866161266119434,0.000789276094150612
DR-Binary-MC2,0.25,0.0006543307844484028,0.00045895985681164436,0.0008125275361638643
DR-Binary-MC2,0.3,0.000667717246477852,0.0004714142149803622,0.000821978075526486
R-Regression,0.01,0.000335234412717235,0.00021042578026422533,0.00043226407696908174
R-Regression,0.02,0.00039198752739255085,0.00025559253921618084,0.0005128340647118375
R-Regression,0.05,0.0004439399265561537,0.0002780078766005889,0.00059204621147778
R-Regression,0.1,0.0005077352785613557,0.00032343033459845613,0.0006605282311078936
R-Regression,0.15,0.0005369343670079427,0.00035842928011875686,0.0006912900263040979
R-Regression,0.2,0.0005691876579697584,0.00038862190647202864,0.0007317806444897577
R-Regression,0.25,0.0005713886862983576,0.0003804790137603861,0.0007424316829782623
R-Regression,0.3,0.0005978415831597991,0.0004056447163640702,0.0007655309010122866
R-Binary,0.01,0.00025404925765169214,0.00013808530529012706,0.00035983388063275416
R-Binary,0.02,0.00039143870729631025,0.00024033582903412024,0.0005026540218877946
R-Binary,0.05,0.00048677362227228207,0.0003260585288715941,0.0006322569244194525
R-Binary,0.1,0.0005336428450246221,0.0003665051234914309,0.0006860691664762496
R-Binary,0.15,0.0005749987788685038,0.0004023581701061676,0.0007332688856771026
R-Binary,0.2,0.0006059122083684592,0.0004294020928848805,0.000768907464529623
R-Binary,0.25,0.0006033169514080224,0.0004056331152686641,0.000769291604115918
R-Binary,0.3,0.0006249804956983477,0.0004295388849411445,0.0007914942825681476
Rank-K1,0.01,0.00019993129611999737,0.00010514834470081748,0.0002917943421742901
Rank-K1,0.02,0.00035414262831697245,0.0002409180395116026,0.0004961057793393802
Rank-K1,0.05,0.00045669852617703533,0.0003026683217706523,0.0006251839828931778
Rank-K1,0.1,0.00062493704979885,0.00045848891244505284,0.0007974468688912863
Rank-K1,0.15,0.0007619458871633563,0.0005818000002633195,0.0009576138335081003
Rank-K1,0.2,0.0008132156085851457,0.0006184275922610966,0.001007739396854379
