stage,bin_left,bin_right,bin_mid,density
0p2,0.034069875109547204,0.034668875616014186,0.034369375362780695,0.24527137714915384
0p3,-0.001271154772004724,-0.0006721542655377423,-0.0009716545187712332,36.9248069038905
0p3,-0.0006721542655377423,-7.315375907076052e-05,-0.0003726540123042514,142.91295098997713
0p3,-7.315375907076052e-05,0.0005258467473962213,0.00022634649416273037,1176.9800588797161
0p3,0.0005258467473962213,0.001124847253863203,0.0008253470006297121,112.70685148115186
0p3,0.001124847253863203,0.0017238477603301848,0.001424347507096694,40.983580180965134
0p3,0.0017238477603301848,0.0023228482667971666,0.0020233480135636757,24.740463138675686
0p3,0.0023228482667971666,0.0029218487732641484,0.0026223485200306575,18.360098293561
0p3,0.0029218487732641484,0.00352084927973113,0.0032213490264976392,14.556753581864045
0p3,0.00352084927973113,0.004119849786198112,0.003820349532964621,11.940951100823524
0p3,0.004119849786198112,0.004718850292665094,0.004419350039431603,9.802572692242853
0p3,0.004718850292665094,0.0053178507991320755,0.0050183505458985846,8.858423125977716
0p3,0.0053178507991320755,0.005916851305599057,0.005617351052365566,7.406091073620862
0p3,0.005916851305599057,0.006515851812066039,0.006216351558832548,6.321522662514592
0p3,0.006515851812066039,0.007114852318533021,0.00681535206529953,5.061765025939863
0p3,0.007114852318533021,0.0077138528250000025,0.007414352571766512,4.562943796170888
0p3,0.0077138528250000025,0.008312853331466984,0.008013353078233493,4.231287857879452
0p3,0.008312853331466984,0.008911853837933966,0.008612353584700475,3.8715481506197893
0p3,0.008911853837933966,0.009510854344400948,0.009211354091167457,3.3927867558281193
0p3,0.009510854344400948,0.01010985485086793,0.009810354597634439,2.9768795106320036
0p3,0.01010985485086793,0.010708855357334911,0.01040935510410142,2.6211517703678022
0p3,0.010708855357334911,0.011307855863801893,0.011008355610568402,2.39246965162653
0p3,0.011307855863801893,0.011906856370268875,0.011607356117035384,1.980574373425875
0p3,0.011906856370268875,0.012505856876735857,0.012206356623502366,1.8134090819483366
0p3,0.012505856876735857,0.013104857383202839,0.012805357129969348,1.7050859730708918
0p3,0.013104857383202839,0.01370385788966982,0.01340435763643633,1.6007748311889078
0p3,0.01370385788966982,0.014302858396136802,0.014003358142903311,1.4456454406977521
0p3,0.014302858396136802,0.014901858902603784,0.014602358649370293,1.4135497047340646
0p3,0.014901858902603784,0.015500859409070766,0.015201359155837275,1.2891787278747762
0p3,0.015500859409070766,0.016099859915537747,0.015800359662304257,1.2784801492202138
0p3,0.016099859915537747,0.01669886042200473,0.01639936016877124,1.0992789567562926
0p3,0.01669886042200473,0.01729786092847171,0.01699836067523822,1.1006162790881129
0p3,0.01729786092847171,0.017896861434938693,0.017597361181705202,0.8933313176559652
0p3,0.017896861434938693,0.018495861941405674,0.018196361688172184,0.9026925739787075
0p3,0.018495861941405674,0.019094862447872656,0.018795362194639165,0.8264652010649499
0p3,0.019094862447872656,0.019693862954339638,0.019394362701106147,0.7555871174784735
0p3,0.019693862954339638,0.02029286346080662,0.01999336320757313,0.7141301251920441
0p3,0.02029286346080662,0.0208918639672736,0.02059236371404011,0.6633118765828724
0p3,0.0208918639672736,0.021490864473740583,0.021191364220507092,0.6017950493191383
0p3,0.021490864473740583,0.022089864980207565,0.021790364726974074,0.5188810647462792
0p3,0.022089864980207565,0.022688865486674547,0.022389365233441056,0.5162064200826386
0p3,0.022688865486674547,0.02328786599314153,0.022988365739908038,0.4800987171234903
0p3,0.02328786599314153,0.02388686649960851,0.02358736624637502,0.4212565345233968
0p3,0.02388686649960851,0.024485867006075492,0.024186366752842,0.45736423748254507
0p3,0.024485867006075492,0.025084867512542474,0.024785367259308983,0.45602691515072474
0p3,0.025084867512542474,0.025683868019009456,0.025384367765775965,0.4292804685143186
0p3,0.025683868019009456,0.026282868525476438,0.025983368272242947,0.36107702959148297
0p3,0.026282868525476438,0.02688186903194342,0.02658236877870993,0.3343305829550768
0p3,0.02688186903194342,0.0274808695384104,0.02718136928517691,0.3316559382914362
0p3,0.0274808695384104,0.028079870044877383,0.027780369791643892,0.33566790528689716
0p3,0.028079870044877383,0.028678870551344365,0.028379370298110874,0.32229468196869404
0p3,0.028678870551344365,0.029277871057811346,0.028978370804577856,0.308921458650491
0p3,0.029277871057811346,0.029876871564278328,0.029577371311044837,0.28484965667772544
0p3,0.029876871564278328,0.03047587207074531,0.03017637181751182,0.2714764333595224
0p3,0.03047587207074531,0.031074872577212292,0.0307753723239788,0.3115961033141316
